,Image frame,x_px,y_px,x,y
0,0,,,,
1,1,,,,
2,2,,,,
3,3,,,,
4,4,,,,
5,5,,,,
6,6,,,,
7,7,,,,
8,8,,,,
9,9,,,,
10,10,,,,
11,11,,,,
12,12,,,,
13,13,,,,
14,14,,,,
15,15,,,,
16,16,,,,
17,17,,,,
18,18,,,,
19,19,,,,
20,20,,,,
21,21,,,,
22,22,,,,
23,23,,,,
24,24,,,,
25,25,,,,
26,26,,,,
27,27,,,,
28,28,,,,
29,29,,,,
30,30,,,,
31,31,,,,
32,32,,,,
33,33,,,,
34,34,,,,
35,35,,,,
36,36,,,,
37,37,,,,
38,38,,,,
39,39,,,,
40,40,,,,
41,41,,,,
42,42,,,,
43,43,,,,
44,44,,,,
45,45,,,,
46,46,,,,
47,47,,,,
48,48,,,,
49,49,,,,
50,50,,,,
51,51,,,,
52,52,,,,
53,53,,,,
54,54,,,,
55,55,,,,
56,56,,,,
57,57,,,,
58,58,,,,
59,59,,,,
60,60,,,,
61,61,,,,
62,62,,,,
63,63,,,,
64,64,,,,
65,65,,,,
66,66,,,,
67,67,,,,
68,68,,,,
69,69,,,,
70,70,,,,
71,71,,,,
72,72,,,,
73,73,,,,
74,74,,,,
75,75,,,,
76,76,,,,
77,77,,,,
78,78,,,,
79,79,,,,
80,80,,,,
81,81,,,,
82,82,,,,
83,83,,,,
84,84,,,,
85,85,,,,
86,86,,,,
87,87,,,,
88,88,,,,
89,89,988.0,251.0,0.694552109706,0.243671278885
90,90,974.0,246.0,0.717758898172,0.251959417623
91,91,958.0,239.0,0.744280942132,0.263562811856
92,92,937.0,231.0,0.77909112483,0.276823833836
93,93,908.0,220.0,0.827162329508,0.295057739059
94,94,876.0,213.0,0.880206417428,0.306661133291
95,95,845.0,206.0,0.931592877602,0.318264527524
96,96,819.0,201.0,0.974691199037,0.326552666261
97,97,797.0,197.0,1.01115900948,0.333183177252
98,98,772.0,191.0,1.05259970317,0.343128943737
99,99,747.0,184.0,1.09404039686,0.354732337969
100,100,730.0,172.0,1.12222006857,0.37462387094
101,101,717.0,159.0,1.14376922928,0.396173031657
102,102,638.0,125.0,1.27472182134,0.452532375073
103,103,613.0,107.0,1.31616251503,0.482369674528
104,104,592.0,95.0,1.35097269772,0.502261207499
105,105,567.0,89.0,1.39241339141,0.512206973984
106,106,534.0,85.0,1.44711510708,0.518837484974
107,107,496.0,82.0,1.51010496149,0.523810368216
108,108,462.0,78.0,1.5664643049,0.530440879206
109,109,425.0,72.0,1.62779653156,0.540386645692
110,110,387.0,66.0,1.69078638597,0.550332412177
111,111,357.0,64.0,1.74051521839,0.553647667672
112,112,287.0,61.0,1.85654916072,0.558620550914
113,113,268.0,62.0,1.88804408792,0.556962923167
114,114,241.0,60.0,1.9328000371,0.560278178662
115,115,207.0,59.0,1.98915938052,0.561935806409
116,116,170.0,61.0,2.05049160718,0.558620550914
117,117,134.0,65.0,2.11016620609,0.551990039924
118,118,97.0,66.0,2.17149843275,0.550332412177
119,119,62.0,67.0,2.22951540391,0.548674784429
120,120,45.0,64.0,2.25769507562,0.553647667672
121,121,,,,
122,122,,,,
123,123,,,,
124,124,,,,
125,125,,,,
126,126,,,,
127,127,,,,
128,128,,,,
129,129,,,,
130,130,,,,
131,131,,,,
132,132,,,,
133,133,,,,
134,134,,,,
135,135,,,,
136,136,,,,
137,137,,,,
138,138,,,,
139,139,,,,
140,140,,,,
141,141,,,,
142,142,,,,
143,143,,,,
144,144,,,,
145,145,,,,
146,146,,,,
147,147,,,,
148,148,,,,
149,149,,,,
150,150,,,,
151,151,,,,
152,152,,,,
153,153,,,,
154,154,,,,
155,155,,,,
156,156,,,,
157,157,,,,
158,158,835.0,130.0,3.19561513747,0.504154824314
159,159,823.0,135.0,3.22512663938,0.491858365184
160,160,806.0,138.0,3.26693460042,0.484480489706
161,161,783.0,142.0,3.32349831241,0.474643322403
162,162,760.0,145.0,3.38006202441,0.467265446925
163,163,737.0,149.0,3.43662573641,0.457428279621
164,164,715.0,153.0,3.49073015658,0.447591112317
165,165,692.0,156.0,3.54729386857,0.44021323684
166,166,673.0,159.0,3.59402041326,0.432835361362
167,167,663.0,158.0,3.61861333152,0.435294653188
168,168,609.0,160.0,3.75141509012,0.430376069536
169,169,594.0,158.0,3.78830446751,0.435294653188
170,170,576.0,155.0,3.83257172038,0.442672528666
171,171,553.0,153.0,3.88913543238,0.447591112317
172,172,530.0,152.0,3.94569914437,0.450050404143
173,173,506.0,155.0,4.00472214819,0.442672528666
174,174,484.0,160.0,4.05882656836,0.430376069536
175,175,465.0,164.0,4.10555311306,0.420538902232
176,176,457.0,167.0,4.12522744766,0.413161026755
177,177,414.0,166.0,4.23097699618,0.41562031858
178,178,410.0,165.0,4.24081416348,0.418079610406
179,179,369.0,161.0,4.34164512834,0.42791677771
180,180,359.0,160.0,4.3662380466,0.430376069536
181,181,348.0,160.0,4.39329025669,0.430376069536
182,182,337.0,162.0,4.42034246677,0.425457485884
183,183,320.0,165.0,4.46215042781,0.418079610406
184,184,289.0,173.0,4.53838847442,0.398405275799
185,185,273.0,180.0,4.57773714363,0.381190233018
186,186,257.0,188.0,4.61708581285,0.36151589841
187,187,240.0,196.0,4.65889377389,0.341841563803
188,188,224.0,204.0,4.6982424431,0.322167229196
189,189,206.0,212.0,4.74250969597,0.302492894588
190,190,182.0,220.0,4.80153269979,0.282818559981
191,191,178.0,226.0,4.8113698671,0.268062809025
192,192,143.0,234.0,4.897445081,0.248388474418
193,193,133.0,242.0,4.92203799926,0.228714139811
194,194,122.0,253.0,4.94909020935,0.201661929725
195,195,115.0,262.0,4.96630525213,0.179528303292
196,196,111.0,266.0,4.97614241943,0.169691135988
197,197,65.0,276.0,5.08926984342,0.145098217729
198,198,56.0,279.0,5.11140346986,0.137720342252
199,199,45.0,281.0,5.13845567994,0.1328017586
200,200,31.0,285.0,5.17288576551,0.122964591296
201,201,20.0,287.0,5.19993797559,0.118046007644
202,202,16.0,292.0,5.20977514289,0.105749548515
203,203,520.0,414.0,5.39841171807,0.11252274637
204,204,508.0,419.0,5.42981341473,0.0994387060942
205,205,466.0,422.0,5.53971935305,0.0915882819288
206,206,454.0,421.0,5.57112104971,0.094205089984
207,207,439.0,418.0,5.61037317054,0.102055514149
208,208,423.0,414.0,5.65224209942,0.11252274637
209,209,406.0,407.0,5.69672783635,0.130840402755
210,210,390.0,402.0,5.73859676524,0.143924443031
211,211,377.0,396.0,5.77261526995,0.159625291362
212,212,361.0,394.0,5.81448419883,0.164858907472
213,213,347.0,398.0,5.85111951161,0.154391675251
214,214,336.0,405.0,5.87990440021,0.136074018866
215,215,325.0,411.0,5.90868928882,0.120373170535
216,216,318.0,416.0,5.9270069452,0.10728913026
217,217,311.0,418.0,5.94532460159,0.102055514149
218,218,306.0,419.0,5.95840864186,0.0994387060942
219,219,272.0,417.0,6.04738011574,0.104672322204
220,220,270.0,415.0,6.05261373185,0.109905938315
221,221,,,,
222,222,215.0,412.0,6.19653817488,0.11775636248
223,223,208.0,411.0,6.21485583127,0.120373170535
224,224,200.0,412.0,6.23579029571,0.11775636248
225,225,192.0,412.0,6.25672476015,0.11775636248
226,226,184.0,414.0,6.27765922459,0.11252274637
227,227,176.0,414.0,6.29859368903,0.11252274637
228,228,168.0,415.0,6.31952815347,0.109905938315
229,229,161.0,416.0,6.33784580986,0.10728913026
230,230,151.0,415.0,6.36401389041,0.109905938315
231,231,139.0,413.0,6.39541558707,0.115139554425
232,232,125.0,411.0,6.43205089984,0.120373170535
233,233,117.0,409.0,6.45298536428,0.125606786645
234,234,112.0,409.0,6.46606940456,0.125606786645
235,235,765.0,367.0,6.53314754268,0.160159197662
236,236,757.0,364.0,6.55381324561,0.167908836258
237,237,748.0,362.0,6.5770621614,0.173075261989
238,238,736.0,358.0,6.60806071578,0.183408113451
239,239,727.0,353.0,6.63130963157,0.196324177779
240,240,721.0,345.0,6.64680890877,0.216989880703
241,241,680.0,327.0,6.75272063625,0.263487712282
242,242,674.0,315.0,6.76821991344,0.294486266668
243,243,667.0,305.0,6.7863024035,0.320318395323
244,244,662.0,293.0,6.79921846783,0.351316949709
245,245,658.0,284.0,6.80955131929,0.374565865499
246,246,652.0,277.0,6.82505059649,0.392648355558
247,247,644.0,269.0,6.84571629941,0.413314058482
248,248,635.0,261.0,6.8689652152,0.433979761406
249,249,626.0,254.0,6.89221413099,0.452062251464
250,250,616.0,247.0,6.91804625964,0.470144741523
251,251,607.0,240.0,6.94129517543,0.488227231581
252,252,594.0,238.0,6.97487694269,0.493393657312
253,253,582.0,239.0,7.00587549707,0.490810444447
254,254,572.0,242.0,7.03170762573,0.48306080585
255,255,560.0,244.0,7.06270618011,0.477894380119
256,256,545.0,242.0,7.1014543731,0.48306080585
257,257,532.0,240.0,7.13503614035,0.488227231581
258,258,518.0,235.0,7.17120112046,0.501143295909
259,259,505.0,229.0,7.20478288772,0.516642573102
260,260,494.0,223.0,7.23319822924,0.532141850295
261,261,486.0,217.0,7.25386393216,0.547641127488
262,262,448.0,208.0,7.35202602105,0.570890043278
263,263,440.0,205.0,7.37269172397,0.578639681874
264,264,430.0,204.0,7.39852385263,0.58122289474
265,265,415.0,205.0,7.43727204561,0.578639681874
266,266,401.0,205.0,7.47343702573,0.578639681874
267,267,386.0,203.0,7.51218521871,0.583806107605
268,268,371.0,202.0,7.55093341169,0.586389320471
269,269,355.0,201.0,7.59226481754,0.588972533336
270,270,342.0,202.0,7.62584658479,0.586389320471
271,271,326.0,207.0,7.66717799064,0.573473256143
272,272,315.0,214.0,7.69559333216,0.555390766085
273,273,309.0,222.0,7.71109260936,0.534725063161
274,274,308.0,238.0,7.71367582222,0.493393657312
275,275,309.0,256.0,7.71109260936,0.446895825733
276,276,320.0,274.0,7.68267726784,0.400397994154
277,277,339.0,296.0,7.63359622339,0.343567311113
278,278,358.0,319.0,7.58451517895,0.284153415206
279,279,376.0,337.0,7.53801734737,0.237655583627
280,280,394.0,349.0,7.49151951579,0.206657029241
281,281,411.0,364.0,7.44760489707,0.167908836258
282,282,421.0,379.0,7.42177276842,0.129160643276
283,283,443.0,384.0,7.36494208538,0.116244578948
284,284,452.0,391.0,7.34169316959,0.0981620888894
285,285,492.0,387.0,7.23836465497,0.108494940351
286,286,503.0,391.0,7.20994931345,0.0981620888894
287,287,522.0,392.0,7.160868269,0.0955788760239
288,288,541.0,393.0,7.11178722456,0.0929956631584
289,289,560.0,394.0,7.06270618011,0.0904124502928
290,290,580.0,396.0,7.0110419228,0.0852460245618
291,291,600.0,397.0,6.95937766549,0.0826628116963
292,292,621.0,398.0,6.90513019532,0.0800795988308
293,293,644.0,398.0,6.84571629941,0.0800795988308
294,294,663.0,398.0,6.79663525497,0.0800795988308
295,295,676.0,396.0,6.76305348771,0.0852460245618
296,296,724.0,396.0,6.63905927017,0.0852460245618
297,297,107.0,435.0,6.47915344483,0.0575697772124
298,298,121.0,435.0,6.44251813206,0.0575697772124
299,299,144.0,434.0,6.38233154679,0.0601865852675
300,300,168.0,432.0,6.31952815347,0.0654202013777
301,301,189.0,430.0,6.26457518431,0.070653817488
302,302,205.0,429.0,6.22270625543,0.0732706255431
303,303,,,,
304,304,267.0,430.0,6.06046415601,0.070653817488
305,305,271.0,423.0,6.04999692379,0.0889714738737
306,306,309.0,424.0,5.9505582177,0.0863546658186
307,307,314.0,419.0,5.93747417742,0.0994387060942
308,308,335.0,415.0,5.88252120827,0.109905938315
309,309,354.0,411.0,5.83280185522,0.120373170535
310,310,375.0,407.0,5.77784888606,0.130840402755
311,311,397.0,402.0,5.72027910885,0.143924443031
312,312,420.0,399.0,5.66009252358,0.151774867196
313,313,53.0,166.0,2.24443405364,0.384569637425
314,314,108.0,163.0,2.15326452752,0.389542520667
315,315,174.0,162.0,2.04386109619,0.391200148415
316,316,239.0,163.0,1.9361152926,0.389542520667
317,317,278.0,163.0,1.87146781045,0.389542520667
318,318,376.0,164.0,1.70902029119,0.38788489292
319,319,440.0,165.0,1.60293211535,0.386227265172
320,320,509.0,167.0,1.48855580077,0.382912009677
321,321,580.0,174.0,1.37086423069,0.371308615444
322,322,641.0,175.0,1.2697489381,0.369650987697
323,323,717.0,211.0,1.14376922928,0.309976388786
324,324,785.0,235.0,1.03105054245,0.270193322846
325,325,855.0,255.0,0.915016600126,0.237040767895
326,326,927.0,273.0,0.795667402305,0.20720346844
327,327,981.0,270.0,0.706155503939,0.212176351683
328,328,578.0,173.0,3.82765313673,0.398405275799
329,329,609.0,175.0,3.75141509012,0.393486692147
330,330,672.0,164.0,3.59647970509,0.420538902232
331,331,717.0,162.0,3.48581157292,0.425457485884
332,332,763.0,162.0,3.37268414893,0.425457485884
333,333,811.0,161.0,3.25463814129,0.42791677771
334,334,831.0,153.0,3.20545230477,0.447591112317
335,335,,,,
336,336,,,,
337,337,,,,
338,338,,,,
339,339,,,,
340,340,,,,
341,341,,,,
342,342,,,,
343,343,,,,
344,344,,,,
345,345,,,,
346,346,,,,
347,347,,,,
348,348,,,,
349,349,,,,
350,350,,,,
351,351,,,,
352,352,,,,
353,353,,,,
354,354,,,,
355,355,,,,
356,356,,,,
357,357,,,,
358,358,,,,
359,359,,,,
360,360,,,,
361,361,,,,
362,362,,,,
363,363,,,,
364,364,,,,
365,365,,,,
366,366,,,,
367,367,,,,
368,368,,,,
369,369,,,,
370,370,,,,
371,371,,,,
372,372,,,,
373,373,,,,
374,374,,,,
375,375,,,,
376,376,,,,
377,377,,,,
378,378,,,,
379,379,,,,
380,380,,,,
381,381,,,,
382,382,,,,
383,383,,,,
